,Name,Country,Years active,Proven victims,Possible victims,Notes,Start year,End year,Number of years active,involving children,torture,arsenist,strangulation,sexually motivated,cannibalism,abduction,poison,guns,prison,execution,mental institution,suicide,Methods of killing
186,Rudolf Pleil,West Germany,1946 to 1947,10,25,"Known as Der Totmacher (""The Deadmaker""). Convicted of killing a salesman and nine women. Claimed to have killed 25.[193] Committed suicide by hanging in 1958.",1946.0,1947,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
187,Milton Johnson,United States,1983,10,17,"Known as ""The Weekend Murderer"" killed up to 17 people.[194] Sentenced to life without parole.",1983.0,1983,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
188,Long Island serial killer,United States,1996 to 2011,10,14,"Unidentified serial killer also known as ""The Gilgo Beach Killer"". Believed to have murdered 10 to 14 people associated with the sex trade over a period of 15 years.[195]",1996.0,2011,15.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
189,Daniel Lee Siebert,United States,1979 to 1986,10,13,Convicted of a 1979 manslaughter; killed 10 people across America in three months in mid-1980s including two children and a Southside Slayer victim.[196] Sentenced to death; died from cancer in prison in 2008.,1979.0,1986,7.0,1,0,0,0,0,0,0,0,1,1,0,0,0,2
190,Joseph James DeAngelo,United States,1979 to 1986,12,,"Top suspect in the murders committed by ""Golden State Killer"", ""Original Night Stalker"", and ""East Area Rapist"". Committed at least 12 murders, 50 rapes, and 120 burglaries across California in the 1970s and 1980s. He was identified and arrested in 2018 after DNA evidence confirmed it was him.[197]",1979.0,1986,7.0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
191,Lonnie David Franklin Jr.,United States,1985 to 2007,10,25[198][199][200],"Known as the ""Grim Sleeper"" for the alleged 14-year hiatus he took from murdering between 1988 and 2002. Shot and strangled his victims, mostly women, around South Los Angeles. Sentenced to death.[198][199][200]",1985.0,2007,22.0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
192,Sergey Cherny,Russia,1999,10,11,Strangled women around Smolensk; suspected of the drowning death of another woman; died in 2001 from pneumonia while in a special psychiatric hospital.[201],1999.0,1999,0.0,0,0,0,1,0,0,0,0,1,0,0,1,0,2
193,Bobby Joe Long,United States,1984,10,10+,"Known as ""The Classified Ad Rapist""; killed 10 women in Tampa Bay, Florida in 1984. Sentenced to death. Executed by lethal injection on 23 May 2019.[202]",1984.0,1984,0.0,0,0,0,0,1,0,0,0,1,0,1,0,0,2
194,Stewart Wilken,South Africa,1990 to 1997,10,10+,"Known as ""Boetie Boer""; raped, sodomised and murdered 10 victims from 1990–1997. Sentenced to seven life terms.[203]",1990.0,1997,7.0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
195,David Randitsheni,South Africa,2004 to 2008,10,10+,"Kidnapped 19 people, raped 17, and murdered 10. Sentenced to 16 consecutive life sentences plus 220 years in prison; hanged himself three weeks after conviction.[204]",2004.0,2008,4.0,0,0,0,0,1,0,1,0,1,1,0,0,0,2
196,Edmund Kemper,United States,1964 to 1973,10,,"Called ""The Co-ed Butcher."" At age 15, he confessed to murdering his grandparents and served six years as a criminally insane juvenile. He was released in 1969. In 1972 and 1973, he murdered and dismembered six young women, then killed his mother and her friend. He was sentenced to eight counts of seven years to life.[205]",1964.0,1973,9.0,0,1,0,0,0,0,0,0,1,0,0,1,0,2
197,Dennis Rader,United States,1974 to 2004,10,,"Known as the BTK Killer. Murdered 10 people in Sedgwick County (in and around Wichita), Kansas, between 1974 and 1991. Sentenced to life imprisonment with no parole for 175 years.[206]",1974.0,2004,30.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
198,Ali Kaya,Turkey,1997 to present,10,,"Known as ""the baby faced killer""; responsible for 10 murders. Escaped from prison and later recaptured.[207]",1997.0,2020,23.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
199,Robert Wagner,Australia,1992 to 1999,10,,Secondary ringleader in the Snowtown murders and best friend of John Justin Bunting; sentenced to 10 consecutive life sentences without the possibility of parole.[171],1992.0,1999,7.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
200,Jeanne Weber,France,1905 to 1908,10,,Transient baby-sitter who strangled children in her care. Declared insane. Hanged herself in prison in 1918.[208],1905.0,1908,3.0,1,0,0,1,0,0,0,0,1,1,0,1,0,3
201,Henry Louis Wallace,United States,1990 to 1994,10,,"Confessed to 10 murders in Charlotte, North Carolina. The victims were all women that he knew.[209] Sentenced to death.",1990.0,1994,4.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
202,Angelo Buono Jr.,United States,1977 to 1979,10,,"Convicted of strangling 10 women. One of the ""Hillside Stranglers"". Died in prison from a heart attack in 2002.[210]",1977.0,1979,2.0,0,0,0,1,0,0,0,0,1,1,0,0,0,2
203,Satish,India,1995 to 1998,10,,"Killed 10 girls who were between the ages of five and nine. He was arrested from Bahadurgargh, Haryana after a long chase by Haryana police.[211]",1995.0,1998,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
204,Zhou Kehua,China,2004 to 2012,10,,"A former soldier who targeted ATM users. He killed 10 people and evaded the law for eight years, before being shot in a shootout with police after a year-long manhunt.[212]",2004.0,2012,8.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
205,Kang Ho-sun,South Korea,2006 to 2008,10,,"Sentenced to death in 2010 for killing 10 women, including his wife and mother-in-law.[213]",2006.0,2008,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
206,Eduard Shemyakov,Russia,1996 to 1998,10,,"Known as the ""Resort Maniac""; Ukrainian who raped, killed and dismembered women in St. Petersburg, supposedly cannibalizing one of the victims; sentenced to compulsory treatment.[214]",1996.0,1998,2.0,0,1,0,0,1,1,0,0,1,0,0,0,0,4
207,Oleg Kuznetsov,Soviet Union  Russia  Ukraine,1991 to 1992,10,,"Robbed, raped and killed people around Russia and Ukraine; sentenced to death but commuted to life imprisonment.[215]",1991.0,1992,1.0,0,0,0,0,1,0,0,0,1,1,0,0,0,2
208,Stanislav Rogolev,Soviet Union,1980 to 1982,10,,"Known as ""Agent 000""; killed and raped women, managing to avoid capture through suspected knowledge of the investigation against him; executed by firing squad in 1984.[216]",1980.0,1982,2.0,0,0,0,0,1,0,0,0,1,0,1,0,0,2
209,Volker Eckert,West Germany  Germany  France  Spain  Czech Republic (suspected)  Italy (suspected),1974 to 2006,13,19+,"German trucker who confessed to having abducted, tortured and killed five prostitutes through his route in Western Europe, plus strangling a 14-year-old girl in his native West Germany in 1974, when he was 15. Police considered him perpetrator of nine murders (with four more being possible); he hanged himself in prison before being convicted.",1974.0,2006,32.0,0,1,0,1,1,0,1,0,1,1,0,0,0,4
210,Louis van Schoor,South Africa,1986 to 1989,9,100,"Former security guard who was convicted of seven murders and two assassinations, but confessed to a reporter that he murdered 100 people; sentenced to 20 years in prison and released on parole in 2004.[217]",1986.0,1989,3.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
211,Peter Kürten,German Empire  Weimar Germany,1913 to 1930,9,79,"Charged with nine murders and seven attempted murders. Dubbed ""The Vampire of Düsseldorf"" by the contemporary media. Executed by guillotine in 1931.[218]",1913.0,1930,17.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
212,Roger Dale Stafford,United States,1974 to 1978,9,34,"Killed nine people in two states, including a family of three; his wife implicated him in 34 total murders in different states; executed by lethal injection in 1995.[219]",1974.0,1978,4.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
213,Norman Afzal Simons,South Africa,1986 to 1994,9,22,"Known as the ""Station Strangler"", convicted of only one of 22 cases of murder and sodomy of young children near Cape Town.[220] Sentenced to imprisonment for life.",1986.0,1994,8.0,1,0,0,1,0,0,0,0,1,1,0,0,0,3
214,Francis Heaulme,France,1984 to 1992,9,20,"Convicted of killing nine people, but suspected in the murder of dozens. He is known as the ""Criminal Backpacker"" due to his travels throughout France. He left a trail of bodies wherever he went.[221]",1984.0,1992,8.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
215,Joel Rifkin,United States,1989 to 1993,9,17,"Known as ""The Drifter"",[222] killed prostitutes in New York City, most of them drug addicts. Convicted of nine murders but believed to have committed 17; also suspected of being the unidentified Long Island serial killer. Sentenced to 203 years to imprisonment for life.",1989.0,1993,4.0,0,0,0,0,1,0,0,0,1,1,0,0,0,2
216,Dagmar Overbye,Denmark,1913 to 1920,9,15,"Murdered between nine and 25 children—of which one was her own—during a seven-year period. In 1921, she was sentenced to death in one of the most talked about trials in Danish history, that changed legislation on childcare. The sentence was later commuted to life in prison. Overbye was working as a professional child minder, caring for babies born outside of marriage, murdering her charges. She strangled them, drowned them or burned them to death in her masonry heater. The corpses were either cremated, buried or hidden in the loft.[223] Died in prison in 1929.",1913.0,1920,7.0,1,0,0,1,0,0,0,0,1,1,0,0,0,3
217,Kenneth McDuff,United States,1966 to 1992,9,14+,"Known as ""The Broomstick Killer""; death sentence for 1966 triple-murder was commuted. Killed again three days after 1989 parole and 10 further times in Waco, Texas until 1992. Executed by lethal injection in 1998.[224]",1966.0,1992,26.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
218,Robert Joseph Silveria Jr.,United States,1981 to 1996,9,14+,"Known as ""The Boxcar Killer""; freight train rider convicted of beating to death fellow transients and confessed to dozens more.[225]",1981.0,1996,15.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
219,Richard Biegenwald,United States,1958 to 1983,9,11+,"Known as ""The Thrill Killer"". Killed at least nine people in Monmouth County, New Jersey and is suspected in at least two other murders.[226] Died of respiratory and kidney failure in 2008.",1958.0,1983,25.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
220,Alexander Bychkov,Russia,2009 to 2012,9,11,Described in his personal diary how he killed 11 men who were alcoholics and tramps. Confessed to eating body parts of his victims. Found guilty of nine murders and sentenced to life imprisonment.[227],2009.0,2012,3.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
221,New Bedford Highway Killer,United States,1988 to 1989,9,11,Unidentified serial killer who killed nine women and disappearance of two others between 1988 and 1989.[228],1988.0,1989,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
222,Maryvale serial shooter,United States,2015 to 2016,9,11,"Motorist who shot 12 people in separate events in Phoenix, Arizona, killing nine. Aaron Saucedo was charged with the shootings and two additional murders in 2017.[229]",2015.0,2016,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
223,Viktor Fokin,Russia,1996 to 2000,9,10+,"Known as the ""Grandfather Ripper""; pensioner who lured, killed and then dismembered prostitutes and alcohol abusers in his home, disposing of the remains in garbage containers after; died while imprisoned at a corrective labor colony.[230]",1996.0,2000,4.0,0,1,0,0,1,0,0,0,1,1,0,0,0,3
224,Edgecombe County Serial Killer,United States,2000s,9,10,"Unidentified serial killer who killed nine women and possibly another who disappeared since 2005 around Rocky Mount, North Carolina. Antwan Pittman was convicted in one case.[231]",2000.0,2000,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
225,Joseph Paul Franklin,United States,1977 to 1980,15,20,White supremacist shooter who confessed to 20 murders and several attempted murders. Executed by lethal injection in 2013.[232],1977.0,1980,3.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
226,Yoshio Kodaira,China  Japan,1928? to 1946,11,Unknown,"A serial rapist, Kodaira killed his father-in-law in 1932 and eight to 10 women in Japan between 1945 and 1946, engaging in necrophilia after the fifth murder. Previously (1920s) he had been deployed to Northern China as a sailor in the Imperial Japanese Navy, where he was free to target the locals. Hanged in 1949.[233]",1928.0,1946,18.0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
227,Keith Hunter Jesperson,United States,1990 to 1995,8,160,"Dubbed the ""Happy Face Killer"", Jesperson was convicted of killing eight women by strangulation.[234]",1990.0,1995,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
228,Rodney Alcala,United States,1971 to 1979,8,130+,"Known as the ""Dating Game Killer"" for appearing on the game show The Dating Game in the middle of his killing years. Was convicted of at least five murders, though his actual total is estimated to be much higher.",1971.0,1979,8.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
229,Kiyotaka Katsuta,Japan,1982 to 1983,8,22,"Strangled or shot people to rob them, using a gun he had stolen from a policeman after running him over with his car. Hanged in 2000.[235]",1982.0,1983,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
230,Pierre Chanal,France,1980 to 1988,8,17,Military instructor suspected of killing boys and men in Marne; committed suicide before trial.[236],1980.0,1988,8.0,1,0,0,0,0,0,0,0,1,0,0,0,1,2
231,Christopher Wilder,United States,1984,8,13+,Killed eight women during a spree before accidentally shooting himself; suspected in the disappearance and murder of more than five more.[237],1984.0,1984,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
232,Axeman of New Orleans,United States,1918 to 1919,8,12+,Unidentified serial killer of at least eight people in the New Orleans area from May 1918 to October 1919.[238],1918.0,1919,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
233,Vladimir Retunsky,Russia,1990 to 1996,8,12,"Known as the ""Povorinsky Maniac""; kidnapped, raped and killed hitchhikers in his hometown of Povorino, possibly abusing their corpses; initially sentenced to death, but later reduced to 15 years imprisonment and released in 2015.[239]",1990.0,1996,6.0,0,0,0,0,1,0,1,0,1,1,0,0,0,2
234,Gilbert Paul Jordan,Canada,1965 to 1987,8,10,"Known as the ""Boozing Barber"", he would typically find alcoholic women in bars in Vancouver's destitute Downtown Eastside, buy them drinks or pay them for sex and encourage them to drink with him. When they passed out, he would pour more liquor down their throats. The resulting deaths were reported as alcohol poisoning and generally ignored by police as the intentional murders blended in with the common occurrence in that neighbourhood. Died in 2006.[240]",1965.0,1987,22.0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
235,Nikolai Dzhumagaliev,Soviet Union,1980 and earlier,7,50–100,Lured women in a park at night and hacked them with an axe as part of a plan to rid the world of prostitution. Also cooked parts of his victims and ate them himself or served them to other people as part of ethnic dishes. Found innocent by reason of insanity and interned in a mental institution.[241],1980.0,1980,0.0,0,0,0,0,1,0,0,0,1,0,0,1,0,2
236,Manuel Delgado Villegas,Spain  France (claimed)  Italy (claimed),1964 to 1971,7,48,"Wandering criminal known as El Arropiero (""The Arrope Trader"") and El Estrangulador del Puerto (""The Strangler of Puerto""). Confessed to the impulsive murders of 48 people of different sex, age, wealth and sexual orientation in three countries (including his girlfriend, whom he strangled during sex), but police only investigated him for 22 murders in Spain and was considered proven author of seven. Some of his victims were killed with hand to hand combat techniques that he had learned in the Spanish Foreign Legion. Diagnosed with XYY syndrome and interned in a mental institution until his death in 1998.[242]",1964.0,1971,7.0,0,0,0,1,1,0,0,0,1,0,0,1,0,3
237,Ershad Sikder,Bangladesh,1991 to 1999,7,43+,Career criminal and corrupt politician responsible for numerous torture murders in the 1990s; convincted on seven counts and executed 2004.[243],1991.0,1999,8.0,0,1,0,0,0,0,0,0,1,0,1,0,0,2
238,Ivan Milat,Australia,1990s,7,23–37,Convicted of the Backpacker murders; sentenced to seven consecutive life sentences plus 18 years without the possibility of parole. May have had accomplices.[244],1990.0,1990,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
239,Michael Wayne McGray,Canada  United States,1980s to 2010s,7,18,"Convicted of the murder of six people in the late 1990s, including a woman and her 11-year-old daughter. Claims to have killed 11 others, including murders committed while on parole and while on a three-day pass from prison. Finally imprisoned for life, killed a cellmate in 2010.[245]",1980.0,2010,30.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
240,Kenneth Erskine,United Kingdom,1986,7,11,"Known as ""The Stockwell Strangler"", he was a burglar who raped and strangled at least seven elderly women after breaking into their homes.[246]",1986.0,1986,0.0,0,0,0,1,1,0,0,0,1,0,0,0,0,3
241,David Carpenter,United States,1979 to 1981,7,11,"Known as ""The Trailside Killer""; murdered women on San Francisco-area hiking trails between 1979 and 1981. Sentenced to death.[247]",1979.0,1981,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
242,Vladimir Kuzmin,Russia,1997,7,11,"Raped, murdered and robbed mostly young boys and men in Moscow; assisted in his first two murders by Denis Kalistratov; sentenced to life imprisonment.[248]",1997.0,1997,0.0,1,0,0,0,1,0,0,0,1,1,0,0,0,3
243,Bruce McArthur,Canada,2008 to 2017,7,10–100,"Gay serial murderer and rapist who would target homosexual men, and hide their bodies in garden planters.[249]",2008.0,2017,9.0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
244,Tommy Recco,France,1960 to 1980,7,10,"Murdered his godfather in 1960; after release, killed six cashiers in two separate store raids; also suspected of murdering a trio of German tourists.[250]",1960.0,1980,20.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
245,Ohio Prostitute Killer,United States,1981 to 2004,7,10,"Supposedly murdered prostitutes and exotic dancers; his first victim was Marcia King, who was identified in 2018.[251][252]",1981.0,2004,23.0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
246,Derrick Todd Lee,United States,2002,7,10,"Known as the ""Baton Rouge or South Louisiana Serial Killer"" convicted of three murders. Believed to have murdered several other women in Louisiana, Mississippi and Alabama. Sentenced to death, died in 2016.[253]",2002.0,2002,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
247,Tomás Maldonado Cera,Colombia,2002 to 2018,7,10,"Known as ""The Satanist""; killed people in Barranquila for the purpose of satanic rituals.[254]",2002.0,2018,16.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
248,David Berkowitz,United States,1976 to 1977,6,,"Known as ""Son of Sam"", he went after young women and couples killing 6 people and wounding 7 others with a .44 caliber Bulldog revolver.  He was caught when an eyewitness to his last murder saw he had a parking ticket on his car.  He was sentenced to life in prison with parole in 1978.[255]",1976.0,1977,1.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
249,Tommy Lynn Sells,United States,1980 to 1999,6,70?,Drifter active throughout the United States who specialized in killing children and multiple victims after breaking into their homes. Caught when a 10-year-old girl survived his attack and provided a description of him. Executed in 2014.[256],1980.0,1999,19.0,1,0,0,0,0,0,0,0,1,0,1,0,0,2
250,Władysław Mazurkiewicz,Poland,1950s,6,30,"Known as ""The Gentleman Killer"". Indicted of, and confessed to having committed 30 murders; convicted of six and hanged in 1957.[257]",1950.0,1950,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
251,Gong Runbo,China,2005 to 2006,6,20+,Found guilty of the murders of six children and teenagers aged between nine and 16 from 2005 to 2006; executed in 2007.[258],2005.0,2006,1.0,1,0,0,0,0,0,0,0,1,0,1,0,0,2
252,Cristopher Chávez Cuellar,Colombia,1990s to 2015,6,15+,"Known as ""The Soulless""; killed between 6 and at least 15 people starting from the 1990s, including 4 underage brothers; sentenced to 40 years imprisonment.[259]",1990.0,2015,25.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
253,András Pándy,Belgium,1986 to 1990,6,14+,"Former clergyman nicknamed ""Father Bluebeard"", killed his two wives and four of his children with the help of a fifth he was having an incestuous affair with, and whom denounced him to the authorities seven years later. Sentenced to life imprisonment in 2002.[260]",1986.0,1990,4.0,1,0,0,0,0,0,0,0,1,1,0,0,0,2
254,John Wayne Glover,Australia,1989 to 1990,6,13,"British ex-pat living in Australia. Known by the media as ""The Granny Killer"" as he targeted elderly women; committed suicide while in prison in 2005.[261]",1989.0,1990,1.0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
255,Alexander Sergeychik,Belarus,2000 to 2006,6,12,Killed between six and 12 people under the influence of alcohol. Executed in 2007.[262],2000.0,2006,6.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
256,Adrián Arroyo Gutiérrez,Costa Rica,2014 to 2015,6,11,"Known as ""The Southern Psychopath""; raped and strangled drug-addicted prostitutes in San José; sentenced to 110 years imprisonment.[263]",2014.0,2015,1.0,0,0,0,1,1,0,0,0,1,1,0,1,0,3
257,Joseph Naso,United States,1977 to 1994,6,10,"A freelance photographers who raped and strangled to death women in California. Arrested in 2011 and sentenced to death two years later. Known as ""The Double Initial Killer"" since first four victims to be identified bore double initials.[264]",1977.0,1994,17.0,0,0,0,1,1,0,0,0,1,0,0,0,0,3
258,Terry Peder Rasmussen,United States,1978 to 2002,6,6+,"Known as the ""Chameleon Killer""; main suspect in the Bear Brook murders, as well as other murders.[265]",1978.0,2002,24.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
259,Richard Cottingham,United States,1977 to 1980,5,85–100,"Killer operating in New York and New Jersey who often targeted prostitutes and utilized mutilation as well as dismemberment in his killings. Known as the ""Torso Killer"", convicted of five murders. He made claims of victim count as up to a hundred, however, there was no evidence to support this and is considered unsubstantiated.[266]",1977.0,1980,3.0,0,1,0,0,1,0,0,0,1,0,0,0,0,3
260,Zodiac Killer,United States,1962 to 1977,5,37,Targeted young couples. Remains unsolved but open in the California jurisdictions where the five certain Zodiac murders occurred. Potentially 37 total victims claimed but unverified.[267],1962.0,1977,15.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
261,John Floyd Thomas Jr.,United States,1957 to 2009,5,17–25,Serial murderer and rapist with one of the longest criminal careers in the US.[268],1957.0,2009,52.0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
262,Carl Panzram,United States  Portuguese Angola,1915 to 1929,5,22,"From 1920 to 1928, he claimed in a posthumous autobiography to have committed over 22 killings, and sodomy of more than 1000 young men. Executed in 1930 by hanging.[269]",1915.0,1929,14.0,0,0,0,0,1,0,0,0,1,0,1,0,0,2
263,Steve Wright,United Kingdom,2006,5,5–22,"Referred to as ""Suffolk murders"", ""Ipswich murders"", ""Ipswich Ripper"", ""Suffolk Ripper"", ""Suffolk Strangler"", ""East Anglia Ripper"", ""Red Light Ripper"" and ""the Suffolkator"". Murdered five prostitutes, all of whom worked in Ipswich in 2006. There are possible links to previous Suffolk prostitute killings.[270]",2006.0,2006,0.0,0,0,0,1,1,0,0,0,1,0,0,0,0,3
264,Michel Peiry,Switzerland  France  United States  Yugoslavia (suspected)  Italy (suspected),1981 to 1987,5,11,"Known as the ""Sadist of Romont""; Swiss soldier who sexually abused and murdered at least 5 hitchhikers in several countries; sentenced to life imprisonment.[271]",1981.0,1987,6.0,0,0,0,0,1,0,0,0,1,1,0,0,0,2
265,Hubert Pilčík,Czechoslovakia,1948 to 1951,5,10+[272],"Made money smuggling people across the Czechoslovakia-Germany border, but killed most of his customers. Total number of his victims is unknown.",1948.0,1951,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
266,Thomas Dillon,United States,1989 to 1992,5,,Killed outdoorsmen in rural Ohio by sniping them from afar with a hunting rifle.,1989.0,1992,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
267,Joe Metheny,United States,1976 to 1996,5,10,"Butchered his victims, then served them at BBQs at his roadside stand; died in prison.[273]",1976.0,1996,20.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
269,Charlie Brandt,United States,1971 to 2004,4,29,"Committed suicide by hanging after murdering his wife and niece. The latter was also decapitated and eviscerated in a manner strongly similar to 26 unsolved murders of women in Florida, starting in 1973, the year Brandt moved to the state. Brandt was later considered the culprit in one of these murders, due to his strong resemblance to a suspect who was filmed by a traffic camera near the place where one body was found. He could not be officially tied to the other crimes due to lack of evidence. Previously, when he was 13 years old in 1971, he attempted to murder his whole family with a gun, for no apparent reason. His mother (who was pregnant) died in this attack, but his father survived, and his sister escaped.[274]",1971.0,2004,33.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
270,Robert Black,United Kingdom  Ireland (suspected)  Germany (suspected)  Netherlands (suspected)  France (suspected),1981 to 1986,4,18+,"Convicted of kidnapping, raping and murdering four girls aged between five and 11. Suspect in other earlier child murders in the UK and other European countries. Died weeks before he was to be charged with a fifth child murder.[275]",1981.0,1986,5.0,1,0,0,0,1,0,1,0,1,0,0,0,0,3
271,Max Gufler,Austria,1946 to 1958,4,18,"Poisoned and drowned four women, but suspected of killing 18 in total.",1946.0,1958,12.0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
272,Ernesto Picchioni,Kingdom of Italy  Italy,1949 and earlier,4,16,Murdered people who approached his home; died of cardiac arrest in 1967.[276],1949.0,1949,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
273,Baekuni,Indonesia,1993 to 2010,4,14,"Pedophile who raped and killed young boys; initially sentenced to life imprisonment, but changed to the death sentence.[277]",1993.0,2010,17.0,1,0,0,0,1,0,0,0,1,1,0,0,0,3
274,Igor Chernat,Soviet Union,1985 to 1986,4,13,"Known as the ""Evil Spirit of Kaukjarvi""; Ukrainian soldier who raped and killed women in Kamenka, selling their stolen items afterwards; executed 1987.[278]",1985.0,1986,1.0,0,0,0,0,1,0,0,0,1,0,1,0,0,2
275,Ricky Lee Green,United States,1985 to 1986,4,12,Bisexual drifter who killed people he met in bars; his wife assisted in two of the murders; executed in 1997.[279],1985.0,1986,1.0,0,0,0,0,1,0,0,0,1,0,1,0,0,2
276,Robert Hicks Murray,United Kingdom,1912 and earlier,4,11+,Bigamist who murdered his wife and three children in a murder-suicide; posthumously revealed to have killed previous wives as well.[280],1912.0,1912,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1,2
277,Dallen Bounds,United States,1999,4,4+,"Murdered a Radio Shack manager, and a florist at their respective places of business. Then murdered two acquaintances before taking two others hostage and committing suicide. Suspected of additional murders in the Pacific Northwest.",1999.0,1999,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
278,Stephen Port,United Kingdom,2014 to 2015,4,4+,"Nicknamed ""The Grindr Killer"", Port met his victims via online gay social networks. He used gamma-Hydroxybutyric acid (GHB), a date rape drug, adding it to drinks given to his victims, raped them, and murdered four of them in his flat in Barking, east London.",2014.0,2015,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
279,Robert Maudsley,United Kingdom,1974 to 1978,4,4,"Sentenced to life without parole in 1974 for murdering a man who had shown him pictures of young boys he had sexually abused. Subsequently killed another child sex offender in Broadmoor high-security hospital and two more, including a child sex offender, in prison. Has been held in solitary confinement since 1983.",1974.0,1978,4.0,1,0,0,0,1,0,0,0,1,1,0,0,0,3
280,Ted Kaczynski,United States,1978 to 1996,3,3,"Domestic terrorist and serial bomber known as the ‘Unabomber’, Kaczynski was responsible for more than two dozen bombings of universities and one airline bombing from 1978 to 1996, justified by Kaczynski by his philosophy that technological advancements would destroy humanity. Arrested in 1996 due to his brother David recognizing the then unidentified Unabomber's manifesto titled: Industrial Society and Its Future, as the work of Kaczynski. Currently imprisoned at ADX Florence.[281]",1978.0,1996,18.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
281,Richard Kuklinski,United States,1948 to 1986,3,100–250,"Hitman for hire known as ""the Iceman"",[282] believed to have killed not only as a hitman but also on his own initiative.[283]",1948.0,1986,38.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
282,Robert Ben Rhoades,United States,1989 to 1990,3,50+,Convicted of murdering three women in Texas and Illinois between 1989 and 1990. Sentenced to life imprisonment.[284],1989.0,1990,1.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
283,Peter Tobin,United Kingdom,1991 to 2006,3,48,"Scottish rapist and serial killer known to have killed at least three young women. Also a suspect in the Bible John murders, committed in Glasgow during the late 1960s.[285]",1991.0,2006,15.0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
284,Pedro Padilla Flores,Mexico,1986,3,30,Killed three women in 1986; fled to the US but recaptured and deported back to Mexico; main suspect in the Ciudad Juárez Murders.[286],1986.0,1986,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
285,Billy Glaze,United States,1986 to 1987,3,20+,"Known as ""Butcher Knife Billy"". Killer convicted of raping and murdering three Native American prostitutes in Minneapolis in 1986 and 1987.[287]",1986.0,1987,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
